ID	start	end	transcription
BP-S9-C-19	314.94	315.74	うーん
BP-S9-B-52	315.17	315.911	あー
BP-S9-D-16	319.821	322.337	うーん どうでしょう
BP-S9-B-53	323.631	326.461	正門から来てメインステージ
BP-S9-B-54	326.881	327.731	に向かう
BP-S9-B-55	328.04	330.281	道のところにあの東エリアの
BP-S9-B-56	330.711	332.131	出展可能な場所が
BP-S9-B-57	332.665	334.121	あるっていうのは ありますよね
BP-S9-C-20	334.535	334.935	うん
BP-S9-D-17	334.634	335.744	うんうん
BP-S9-B-58	337.165	339.775	で 逆に西エリアだと
BP-S9-B-59	340.415	341.605	フリーマーケットの
BP-S9-B-60	343.591	345.281	隣にな なんです
BP-S9-B-61	345.568	345.718	ね
BP-S9-B-62	346.561	348.121	で そうすると来るのは
BP-S9-B-63	350.161	350.711	あのー
BP-S9-B-64	351.49	352.541	高校生とか
BP-S9-B-65	353.6	354.95	大学生とかじゃなくて
BP-S9-B-66	355.34	355.8	その
BP-S9-B-67	356.635	357.825	親の世代とか
BP-S9-B-68	359.391	359.931	まあ
BP-S9-B-69	360.18	363.86	あの すい 40代50代の人達かなと
BP-S9-C-21	364.23	364.85	うーん
BP-S9-B-70	364.621	367.431	で 西エリアに出展する場合はそれを踏まえたほうが
BP-S9-D-18	364.728	365.665	うんうん
BP-S9-B-71	368.74	369.45	いいのかと
BP-S9-D-19	369.321	370.337	うんうん
BP-S9-B-72	369.8	370.431	思います
BP-S9-C-22	378.435	382.445	西エリアはだめなの 焼きそば目当てで来る人とかいないのかな
BP-S9-B-73	383.055	383.915	あー
BP-S9-D-20	383.556	384.65	うーんうん
BP-S9-C-23	385.471	386.331	まとまんないな
BP-S9-C-24	386.546	387.126	うーん
BP-S9-B-74	396.161	397.401	焼きそばがもう
BP-S9-B-75	399.451	400.671	親子連れにも
BP-S9-B-76	401.091	404.271	フリーマーケットの世代にも うけるっていうのは
BP-S9-B-77	406.421	409.411	追い出すとなると
BP-S9-B-78	410.441	412.061	出展の内容
BP-S9-B-79	413.261	414.321	あ 焼きそば
BP-S9-B-80	416.771	420.511	と並ぶか それ以上のものださないといけなくなるんですね
BP-S9-C-25	421.866	431.736	んー うーん 並ぶというか別に違うジャンルだったらいいんじゃないですか 食べ物と飲みものとか あとお菓子系もあるし うーん
BP-S9-B-81	424.351	424.761	あー
BP-S9-B-82	428.391	429.551	あー なるほど
BP-S9-D-21	430.76	431.697	うんうん
BP-S9-B-83	431.276	431.966	あー
BP-S9-C-26	434.756	437.086	どうなんだろう難しい 難しいんですかね西は
BP-S9-B-84	436.906	437.256	うん
BP-S9-B-85	437.866	438.336	あー
BP-S9-B-86	440.821	441.941	そうですね
BP-S9-D-22	441.87	442.698	うーん
BP-S9-C-27	447.9	448.69	あー
BP-S9-A-34	447.916	448.526	うーん
BP-S9-D-24	449.883	453.618	狙ったほうがいいのかなって もし西に出すんだったら
BP-S9-B-87	454.701	455.871	うーん
BP-S9-D-25	459.351	460.061	うーん
BP-S9-A-35	469.235	470.905	あ でも自分が来て
BP-S9-A-36	471.595	476.584	正門通って常に人がいるってのは正門から入る人が多いから当たり前なんですけど
BP-S9-D-26	476.57	477.101	うんうん
BP-S9-A-37	477.005	481.395	正門から入ってすぐここで物 食べ物買うかって言われたら
BP-S9-C-28	481.719	482.229	うん
BP-S9-A-38	482.724	484.935	ちょっと 何か買わないかなって思う
BP-S9-A-39	485.964	486.734	ちゃいますね
BP-S9-D-27	486.459	487.632	うんうんうん
BP-S9-A-40	487.465	487.965	からなんか
BP-S9-B-88	487.771	488.371	うーん
BP-S9-A-41	488.66	489.43	校舎とか
BP-S9-A-42	489.72	490.15	いろいろ
BP-S9-A-43	490.33	490.84	中で
BP-S9-A-44	491.14	492.55	やってるのを見てから
BP-S9-A-45	493.24	494.92	買うかなって考えたら
BP-S9-A-46	495.475	497.191	東エリアとかのほうが
BP-S9-C-29	496.48	497.01	あー
BP-S9-A-47	497.44	499.1	良いかなってちょっと思いましたよ
BP-S9-B-89	499.1	502.64	うーん それ いや俺はあの
BP-S9-B-90	504.281	509.351	俺はあの正門から入って学園祭なの まず何か買うかと
BP-S9-B-91	510.791	515.861	といってあの正門のあたりのとりあえず何か買っていこうかなと
BP-S9-D-28	517.071	518.331	うんうんうん
BP-S9-B-92	517.336	518.031	いくと思います
BP-S9-B-93	519.221	521.801	正門に店出したら
BP-S9-B-94	522.481	524.091	他の店に便乗する形で
BP-S9-B-95	524.711	525.54	ある程度は
BP-S9-B-96	527.601	530.151	売れると思いますけど
BP-S9-B-97	532.861	534.881	時間経ってきた
BP-S9-B-98	537.771	539.881	ある程度入ってきた あのー
BP-S9-B-99	540.371	544.981	3時半ぐらいになるともう 正門より東門の方が有利になるのかなと
BP-S9-A-48	544.601	545.615	そうですね
BP-S9-C-30	545.31	546.1	うーん
BP-S9-D-29	545.485	546.923	うんうんうん
BP-S9-B-100	546.611	546.941	うん
BP-S9-C-31	560.221	565.65	なんか東門の方が 周りがなんていうかしょぼい感じがします
BP-S9-A-49	565.821	566.691	あー
BP-S9-B-101	566.401	566.771	あ
BP-S9-C-32	566.881	568.261	なんか綿飴とか
BP-S9-A-50	569.071	571.171	ちょっと優位に立てる気もしますね
BP-S9-C-33	569.801	571.241	そんな そんなかんじが
BP-S9-D-30	571.1	572.475	うんうんうん
BP-S9-B-102	571.481	571.761	うん
BP-S9-C-34	572.141	572.926	するんですけど
BP-S9-B-103	575.941	576.595	いやでも
BP-S9-B-104	577.39	580.86	出展可能な場所の隣にフライドポテトがあるんですよ
BP-S9-D-31	581.536	582.364	はい
BP-S9-B-105	582.611	584.481	結構人気のでる
BP-S9-B-106	585.281	586.63	品目なのかなと
BP-S9-A-51	586.531	587.141	うーん
BP-S9-D-32	586.733	588.154	ふーん
BP-S9-C-35	589.501	592.021	焼き鳥とかたこ焼きに比べると
BP-S9-B-107	592.73	594.61	あー
BP-S9-B-108	595.671	596.641	でかいんです
BP-S9-B-109	599.171	601.921	ドリンクは正門の方にあって
BP-S9-B-110	602.785	606.035	東の方から見える場所 位置にあるから ドリンク
BP-S9-B-111	606.351	609.531	これ 東門で飲み物系を出すのはキツイ ちょっと厳しいのかと
BP-S9-C-36	611.891	614.711	あ そうか じゃあ食べ物とかお菓子系になるんですかね
BP-S9-B-112	613.491	613.791	はい
BP-S9-B-113	614.761	615.091	はい
BP-S9-B-114	617.711	619.891	問題はこの豚汁をどう見るかなんですよ
BP-S9-D-33	621.309	626.278	豚汁とかうどんとかって休憩所が近いからなんか座っても食べれるじゃないですか
BP-S9-B-115	624.151	624.66	あー
BP-S9-A-52	624.741	625.655	あー
BP-S9-C-37	625.536	626.656	うーん あー
BP-S9-B-116	626.45	626.93	あー
BP-S9-D-34	626.808	627.278	うーん
BP-S9-D-35	629.438	630.661	そういうのでちょっと
BP-S9-D-36	631.338	633.791	近いのかなって思いますけど うーん
BP-S9-B-117	631.945	632.315	うん
BP-S9-C-38	635.421	638.19	北か東を決め 決めたいですね
BP-S9-B-118	638.091	638.841	あー
BP-S9-D-37	638.44	639.697	そうですね
BP-S9-B-119	643.166	645.091	じゃ とりあえず西は無しなのか
BP-S9-A-53	646.76	647.26	にーし
BP-S9-B-120	646.966	648.046	無しっていう感じですかね
BP-S9-B-121	649.481	652.741	北か あの 北か東ですか とりあえず
BP-S9-C-39	653.285	656.035	あは なんとなく進めちゃいましたけど ど どうなんでしょう
BP-S9-C-40	657.031	657.851	西ってなんか
BP-S9-B-122	658.061	659.511	西 結構
BP-S9-C-41	658.741	662.071	あ ちょっと{LAUGH}これだけだとなんか 全然わかんない
BP-S9-A-54	659.8	660.71	西はー
BP-S9-B-123	662.515	663.385	厳しい
BP-S9-B-124	665.191	665.921	うーん
BP-S9-B-125	666.461	668.091	見劣りしちゃいますよね
BP-S9-C-42	668.471	669.221	うーん
BP-S9-B-126	668.595	669.975	北と東に比べると
BP-S9-A-55	672.511	673.091	北か
BP-S9-A-56	673.275	673.965	東で
BP-S9-C-43	674.18	674.83	うーん
BP-S9-A-57	674.365	675.241	しぼりますか
BP-S9-B-127	675.111	675.551	はい
BP-S9-D-38	675.841	677.121	そうですね
BP-S9-D-39	684.051	684.641	うーん
BP-S9-A-58	699.39	700.66	みなさん正門と
BP-S9-A-59	701.03	702.081	西だったら
BP-S9-A-60	702.991	705.481	西じゃない東だったらどっちがいいと思いますか
BP-S9-C-44	705.286	706.046	うーん
BP-S9-A-61	705.822	706.872	個人的な意見で
