ID	start	end	transcription
TP-S7-A-0	15.14	15.911	うーん
TP-S7-D-0	24.461	25.919	まずどこに行きたい
TP-S7-D-1	26.252	27.584	連れて行こうと思いますか
TP-S7-B-0	26.495	26.891	うーん
TP-S7-B-1	28.143	28.265	いっ
TP-S7-D-2	28.145	28.993	何県とか
TP-S7-B-2	29.059	30.929	一泊二日なんで
TP-S7-B-3	31.427	32.053	もう
TP-S7-B-4	32.945	33.159	東
TP-S7-B-5	33.658	34.259	東京に
TP-S7-D-3	34.528	34.891	うーん
TP-S7-B-6	35.155	35.913	来るとして
TP-S7-B-7	36.793	37.157	その
TP-S7-B-8	37.411	38.721	近くしかぶっちゃけ
TP-S7-B-9	39.095	44.071	他むしろ京都とか行かしたら可哀想っすよねちょっと ハードすぎるっていうか
TP-S7-D-4	42.791	43.337	そうですね
TP-S7-D-5	44.27	44.843	うーん
TP-S7-B-10	45.238	46.903	一泊二日か みたいな
TP-S7-D-6	45.637	46.953	あー一泊だから
TP-S7-B-11	46.906	47.088	{LAUGH}
TP-S7-D-7	48.037	49.42	すごい弾丸になっちゃいますね
TP-S7-B-12	49.244	49.808	{LAUGH}
TP-S7-D-8	50.983	52.525	東京首都ですしね
TP-S7-A-2	51.737	52.167	や とう
TP-S7-A-3	52.655	52.815	え
TP-S7-B-13	53.679	54.747	東京で
TP-S7-A-4	53.844	54.154	うん
TP-S7-B-14	55.715	56.985	楽しんで貰うしか
TP-S7-D-9	57.218	57.585	うーん
TP-S7-B-15	57.497	58.049	ないんじゃ  
TP-S7-B-16	58.422	58.794	って感じ
TP-S7-B-17	59.721	61.463	埼玉とか千葉とか
TP-S7-B-18	62.099	62.287	で
TP-S7-B-19	62.673	64.471	なんかあればそれでも良いと
TP-S7-B-20	65.111	65.911	思いますけど
TP-S7-C-0	70.559	71.073	うーん
TP-S7-A-5	71.57	72.725	あーん
TP-S7-C-1	76.369	76.931	でも これ
TP-S7-C-2	77.347	82.559	欧米の人と なんかアジア系の外国人のまた行きたい場所って好みが違うらしいから
TP-S7-B-21	82.597	83.391	あー
TP-S7-D-10	83.277	83.645	うーん
TP-S7-B-22	84.215	84.905	何系
TP-S7-C-3	84.555	84.901	で
TP-S7-B-23	85.195	85.837	とするか
TP-S7-B-24	86.051	86.505	{LAUGH}
TP-S7-D-11	86.556	86.968	{LAUGH}
TP-S7-B-25	86.967	87.243	{LAUGH}
TP-S7-C-4	91.045	91.349	あー
TP-S7-C-5	92.951	95.233	一泊二日だから あんま遠出は
TP-S7-D-12	95.493	95.931	うーん
TP-S7-B-26	95.73	96.425	できない
TP-S7-C-6	96.07	97.233	できないですよね
TP-S7-C-7	100.259	100.625	うーん
TP-S7-B-27	102.169	102.959	んー
TP-S7-D-13	109.325	111.337	私も東京が無難かなっと思って
TP-S7-D-14	112.547	113.379	首都だし
TP-S7-C-8	113.437	115.26	浅草とかいいんじゃない 行ったら
TP-S7-D-15	114.851	115.8	あー
TP-S7-B-28	115.085	115.599	あー
TP-S7-C-9	115.73	116.559	あきばとか
TP-S7-B-29	117.351	118.145	中野とか
TP-S7-C-10	118.761	119.217	うーん
