ID	start	end	transcription
BP-S11-C-0	1.8	2.045	はい
BP-S11-B-0	2.161	2.386	はい
BP-S11-D-0	2.599	2.686	はい
BP-S11-A-0	3.248	3.417	じゃあ
BP-S11-B-1	3.508	4.452	はい はいじゃあ
BP-S11-C-1	3.669	4.007	じゃあ
BP-S11-A-1	3.961	5.57	一人ずつ発表って感じです
BP-S11-D-1	4.296	4.579	んで
BP-S11-D-2	5.242	6.26	そうですね
BP-S11-D-3	6.783	7.677	じゃまた{A}から
BP-S11-A-2	7.67	8.022	はい
BP-S11-A-3	8.544	9.159	えっと
BP-S11-A-4	10.162	11.339	僕は えー
BP-S11-A-5	11.686	12.744	東エリアの
BP-S11-A-6	13.255	13.854	所で
BP-S11-C-2	13.308	13.477	はい
BP-S11-A-7	14.909	16.759	まあ焼きそばって言って 焼きそばって
BP-S11-A-8	17.897	20.659	て焼きそばがまあやっぱ主食になるものが一番結構
BP-S11-A-9	21.234	21.41	まあ
BP-S11-C-3	21.259	22.294	東にやきそば
BP-S11-A-10	21.873	23.107	まあ人気かなって思って
BP-S11-D-4	22.674	23.12	うん
BP-S11-B-2	22.991	24.173	あー 確かに
BP-S11-A-11	23.952	24.177	まあ
BP-S11-A-12	24.382	25.145	競合する
BP-S11-A-13	25.474	26.062	えーと
BP-S11-A-14	26.339	27.745	まあ西のやきそばから
BP-S11-A-15	27.954	29.42	まあ一番離れた所で
BP-S11-D-5	29.504	29.843	うん
BP-S11-A-16	30.807	31.028	まあ
BP-S11-A-17	31.452	33.862	焼きそ 焼きそばって結構すごい手軽で
BP-S11-D-6	34.003	34.457	うん
BP-S11-A-18	34.346	36.442	去年も結構まあ欅祭の話ですけど
BP-S11-A-19	36.807	37.222	結構
BP-S11-A-20	37.437	38.355	いろんな焼きそば
BP-S11-A-21	38.555	39.301	出てたりして
BP-S11-D-7	39.473	39.89	うん
BP-S11-A-22	39.859	40.513	何店舗も
BP-S11-A-23	41.012	43.41	まあ二つあっても良いかなと思って それでまあ
BP-S11-C-4	41.704	41.964	うん
BP-S11-A-24	43.703	49.054	まあ肉入りとか去年あって まあ富士宮やきそばとかまあいろいろありますからそれで差別化したりして
BP-S11-D-8	45.477	45.76	うん
BP-S11-D-9	47.794	48.043	うん
BP-S11-C-5	48.138	48.46	うん
BP-S11-A-25	50.196	50.405	はい
BP-S11-A-26	50.916	52.092	やっぱ主食になるものは
BP-S11-A-27	53.044	54.152	良いのかなと思ったので
BP-S11-D-10	54.011	54.225	うん
BP-S11-A-28	54.558	54.743	はい
BP-S11-A-29	55.412	56.176	そんな感じです
BP-S11-C-6	56.705	56.966	はい
BP-S11-D-11	57.559	58.075	どうする
BP-S11-B-3	62.254	62.408	なん
BP-S11-C-7	62.73	62.819	あ
BP-S11-B-4	62.837	63.155	次
BP-S11-C-8	63.079	63.365	はい
BP-S11-B-5	63.57	63.75	あ
BP-S11-C-9	63.821	64.404	お願いします
BP-S11-B-6	64.557	65.099	えっと
BP-S11-B-7	65.259	66.307	私は
BP-S11-B-8	66.745	68.083	南エリアに
BP-S11-B-9	68.397	69.139	ドリンク
BP-S11-A-30	69.578	69.789	はい
BP-S11-B-10	69.946	72.158	のお店を出したら良いかなと思って
BP-S11-D-12	69.981	70.582	あーなるほど
BP-S11-C-10	70.333	71.003	ドリンク
BP-S11-B-11	72.619	73.563	今全体で
BP-S11-B-12	73.903	76.321	ドリンクを売っ ている店舗が二つ
BP-S11-B-13	77.149	77.371	ある
BP-S11-B-14	77.579	77.881	って
BP-S11-B-15	78.096	79.839	一個は北エリアの
BP-S11-D-13	78.189	78.743	うん
BP-S11-B-16	80.079	81.095	普通のドリンクと
BP-S11-D-14	81.153	81.415	うん
BP-S11-B-17	81.471	83.276	あと東エリアにタピオカドリンク
BP-S11-B-18	84.096	84.7	があって
