ID	start	end	transcription
BP-S10-B-0	2.27	2.557	はい
BP-S10-A-0	2.305	2.662	はい
BP-S10-B-1	3.964	6.169	まずターゲット層どうするかですよね
BP-S10-C-0	6.08	6.97	うーん
BP-S10-B-2	6.464	6.97	この場合
BP-S10-B-3	7.316	10.559	あとさきにサークルの規模層ってどうしますか
BP-S10-A-1	11.644	12.201	サー
BP-S10-D-0	11.701	12.885	サークル
BP-S10-A-2	12.455	13.74	クルの規模が
BP-S10-A-3	14.012	15.112	要は小さいと
BP-S10-A-4	15.574	17.807	元手がないってことになるってことですか
BP-S10-B-4	17.051	18.82	あと北側不可になりますかね
BP-S10-B-5	19.083	19.969	小さい場合は
BP-S10-A-5	19.853	21.0	あー なるほど
BP-S10-B-6	21.811	22.94	大きいければ北に
BP-S10-B-7	23.146	25.84	挑みに行けますが まあ挑みに行くかはまた別の話として
BP-S10-D-1	26.44	28.78	北はまず無いなって思ったんですよ
BP-S10-B-8	28.648	29.046	うん
BP-S10-A-6	28.78	30.3	これあれですかね場所取り
BP-S10-D-2	30.653	31.035	うーん
BP-S10-A-7	30.694	32.92	抽選とかまで考えなきゃなんないんですかねこれ
BP-S10-B-9	33.431	36.601	いや これ恐らくも貰えるんじゃないですか べきかなんで
BP-S10-A-8	34.783	38.179	確実にもらえるんだったら 別に小さいサークルでも
BP-S10-C-1	34.825	37.057	もうこれ空いてる所でいいんじゃないですか
BP-S10-D-3	36.08	36.394	うん
BP-S10-B-10	36.977	37.287	はい
BP-S10-A-9	38.53	39.688	変わらないじゃないですかね
BP-S10-B-11	39.466	42.498	小さい所で北に行ってしまうと客引きが激戦
BP-S10-A-10	41.333	41.52	はい
BP-S10-B-12	42.709	48.633	って書いてあるんで 人手が足りなくて結局客引きしきれずに何も売れないっていう状況がありうると思うんで
BP-S10-A-11	45.4	47.21	あー なるほどそう
BP-S10-B-13	49.553	53.535	で かつ北って物が一通りそろってるんで何突っ込んでも厳しいかなっていうのが
BP-S10-A-12	51.783	52.305	そうですね
BP-S10-B-14	56.75	58.003	そこの想定どうしますかまず
BP-S10-D-4	60.024	61.248	サークルの規模ですか
BP-S10-B-15	61.251	61.518	はい
BP-S10-B-16	63.633	67.685	まあ 僕の自分のエネルギー的にあんまり北に行きたくないんで小さい想定で行きたいなって感じなんですけども
BP-S10-D-5	67.09	67.418	うん
BP-S10-A-14	68.485	68.851	まあ
BP-S10-A-15	70.41	71.707	そうですね あと
BP-S10-A-16	71.961	73.318	で調整すればいいんじゃないですかね
BP-S10-B-17	73.362	73.718	ですかね
BP-S10-A-17	75.231	77.5	北に行くことになったら大きいかったってことで
BP-S10-B-18	77.261	77.6	じゃあ
BP-S10-A-18	77.798	78.294	{LAUGH}
BP-S10-B-19	77.849	79.812	まあとりあえず考えてから決めますか
BP-S10-A-19	79.774	80.022	はい
BP-S10-B-20	80.487	80.901	でいいですか
BP-S10-C-2	81.579	81.846	はい
BP-S10-B-21	82.079	82.255	はい
BP-S10-D-6	82.309	82.525	はい
BP-S10-B-22	83.325	83.996	じゃあえーと
BP-S10-B-23	84.262	86.253	想定な んですが 僕
BP-S10-B-24	86.474	87.727	僕の考えから言っちゃっていいですか
BP-S10-A-20	87.89	88.544	はい大丈夫です
BP-S10-B-25	88.105	90.56	僕の考えではまずえーとこの
BP-S10-B-26	91.248	93.739	えー 主述平均の年代の方
BP-S10-B-27	94.131	94.818	を見ると
BP-S10-B-28	95.512	95.92	えー
BP-S10-B-29	96.759	98.209	21から25の層
BP-S10-B-30	99.051	100.292	要はそのこれたぶん
BP-S10-B-31	100.494	102.48	学生で18 9から
BP-S10-B-32	102.975	104.5	24くらいまで
BP-S10-A-21	104.748	105.312	ああ はい
BP-S10-B-33	105.01	109.2	でここは大学生層が非常に多いだと思うんですけど ここをターゲットにするか
BP-S10-D-7	105.638	106.201	うーん
BP-S10-B-34	109.968	110.938	あと後ろのこの
BP-S10-C-3	110.796	111.787	ああ それ
BP-S10-B-35	111.151	112.362	46より上
BP-S10-B-36	112.655	113.522	の高齢者層
BP-S10-D-8	113.161	113.629	うーん
BP-S10-C-4	113.244	114.272	僕もそれ思いました
BP-S10-B-37	114.209	115.239	をターゲットにするか
BP-S10-B-38	116.555	116.846	か
BP-S10-B-39	117.32	119.172	こうちょっと少なめですけど高校生層
BP-S10-B-40	119.724	121.594	をターゲットにするかの3択だと思うんすよね
BP-S10-A-22	121.122	121.459	うーん
BP-S10-C-5	122.72	123.092	うん
BP-S10-B-41	123.812	126.579	全体を取りに行く北にしないんであれば
BP-S10-A-23	126.94	127.542	まあはい
BP-S10-B-42	128.555	130.496	であとはその各場所を見て
BP-S10-B-43	130.72	132.169	その被らないように
BP-S10-A-24	132.612	133.29	そうですね
BP-S10-B-44	132.862	133.779	極力する
BP-S10-A-25	133.494	133.742	はい
BP-S10-B-45	134.407	135.088	っていうのと
BP-S10-B-46	136.337	137.079	あとはまあその
BP-S10-B-47	137.283	139.28	ターゲットにしたのに適した場所
BP-S10-B-48	139.742	141.83	にするといいんじゃないかなと僕は思います とりあえず
BP-S10-A-26	144.079	147.219	そうですね例えばそのターゲットの年齢層
BP-S10-A-27	148.229	152.329	に合わせた店にするってなると例えば食べ物でいうと
BP-S10-B-49	148.729	148.972	はい
BP-S10-B-50	152.409	152.689	はい
BP-S10-A-28	154.28	156.36	わらび餅は高齢者向けで
BP-S10-A-29	157.833	158.551	なん なんだ
BP-S10-A-30	158.803	162.59	例えば肉まん 餡まんはもうちょっと低年齢向けとかそういう差ですかね
BP-S10-B-51	161.981	163.083	うーん まあ
BP-S10-B-52	163.342	166.019	 その辺も多少ありますけど ば 場所の方が大きいかなと
BP-S10-A-31	166.218	166.927	ですよね
BP-S10-B-53	167.196	170.05	高齢者だと東だとか南もいいのかな
BP-S10-D-9	167.211	167.783	うーん
BP-S10-B-54	170.292	171.661	て感じが若干しますけど
BP-S10-C-6	170.668	171.357	うーん
BP-S10-A-32	171.344	171.979	ああ なるほど
BP-S10-B-55	172.99	177.449	で西が正直この親子連れっていう層が非常に少ないんであんまり良くないかな
BP-S10-A-33	178.285	178.77	うーん
BP-S10-B-56	179.253	181.794	親子連れってなると この15以下と
BP-S10-B-57	182.02	183.879	この30から
BP-S10-B-58	184.429	185.555	45辺りじゃないですか
BP-S10-A-34	186.039	186.71	そうですね
BP-S10-B-59	186.39	189.5	人数が非常に少ないんでここをターゲットにするのはあんまりおいしくないかな
BP-S10-B-60	189.722	191.366	っと思い 西はあんまりないかなっと思いました
BP-S10-A-35	191.655	192.003	はい
BP-S10-B-61	194.496	194.831	なんか
BP-S10-D-10	194.503	194.953	と
BP-S10-B-62	195.035	195.272	 はい
BP-S10-D-11	195.331	196.04	私は
BP-S10-D-12	196.487	196.94	その
BP-S10-D-13	197.36	197.648	の
BP-S10-D-14	197.985	199.86	高齢者は見ないで普通に
BP-S10-B-63	199.303	199.55	はい
BP-S10-D-15	200.2	200.435	なんか
BP-S10-D-16	200.725	201.38	一番
BP-S10-D-17	202.26	202.546	なんか
BP-S10-D-18	202.761	203.733	結構学祭で
BP-S10-B-64	203.69	204.103	うーん
BP-S10-D-19	204.231	205.68	お金をさばく その
BP-S10-B-65	205.861	206.409	若年層
BP-S10-D-20	205.961	206.69	16から
BP-S10-D-21	206.94	207.522	25
BP-S10-B-66	207.719	208.039	はい
BP-S10-D-22	208.207	209.8	この2つの層にしたんですよ
BP-S10-B-67	209.759	210.259	うーん
BP-S10-D-23	210.535	211.981	でその高校生っていうのは
BP-S10-B-68	212.15	212.419	はい
BP-S10-D-24	212.205	212.539	だいが
BP-S10-D-25	213.05	214.364	なんか大学のその
BP-S10-D-26	214.596	215.479	学祭に来たら
BP-S10-B-69	215.598	215.994	うん
BP-S10-D-27	215.951	217.99	ちょっとなんか大学にすごい夢をもって
BP-S10-B-70	218.055	219.309	うーん はい
BP-S10-D-28	218.27	219.577	来るじゃないですか だからもう
BP-S10-D-29	219.877	221.055	結構使ってくれるんですよ
BP-S10-B-71	221.37	221.761	うーん
BP-S10-D-30	221.635	222.118	でその
BP-S10-A-36	221.944	222.4	うん
BP-S10-D-31	222.368	222.624	あと
BP-S10-D-32	222.844	224.951	この大学生は大学生の層は
BP-S10-B-72	223.968	224.255	はい
BP-S10-D-33	225.309	226.342	その他大の人が
BP-S10-B-73	226.398	226.64	はい
BP-S10-D-34	227.307	227.753	まあなんか
BP-S10-D-35	227.975	230.844	その友達の大学に行ったりとか結構あれ じゃないですか
BP-S10-B-74	229.098	229.461	うん
BP-S10-B-75	230.188	230.696	うーん
BP-S10-B-76	231.012	231.569	ありますね
BP-S10-D-36	231.244	231.523	だから
BP-S10-D-37	231.9	234.579	その友達としてのお金も使ってくれるし なんか
BP-S10-B-77	233.911	234.685	うーん
BP-S10-D-38	234.844	235.726	普通に他の 
BP-S10-D-39	236.199	236.781	大学の子の
BP-S10-D-40	237.018	238.635	子と知り合いたいみたいなかんじで
BP-S10-B-78	238.464	239.148	うーん
BP-S10-D-41	239.03	239.57	来るんで
BP-S10-B-79	239.64	239.831	はい
BP-S10-D-42	239.94	240.622	絶対ここは
BP-S10-D-43	241.116	242.794	何かしら買ってくれるなって思ったんですよ
BP-S10-B-80	242.379	243.222	うーん
BP-S10-D-44	243.964	244.418	だから
BP-S10-D-45	244.653	245.003	その
BP-S10-D-46	246.522	247.385	場所的には
BP-S10-D-47	247.716	248.027	その
BP-S10-D-48	248.509	249.368	北は無くて
BP-S10-D-49	249.688	250.496	北はその
BP-S10-D-50	251.701	253.348	みなさんもたぶん知ってると思うんですけど
BP-S10-D-51	253.564	254.531	その体育会の
BP-S10-B-81	253.78	254.06	はい
BP-S10-D-52	254.824	256.089	あれがすごいじゃないですか
BP-S10-B-82	254.949	255.546	そうですよね
BP-S10-B-83	255.551	256.344	{LAUGH}
BP-S10-A-37	256.322	256.787	{LAUGH}
BP-S10-B-84	256.364	258.16	あそこには行きたくないですね正直
BP-S10-D-53	257.209	257.487	うん
BP-S10-D-54	258.138	261.131	だから その高校生とかも結構ひいちゃうと思うんで
BP-S10-B-85	261.157	261.898	うーん
BP-S10-D-55	261.412	262.761	北は無しにしたんですよ
BP-S10-A-38	261.531	261.868	{LAUGH}
BP-S10-D-56	263.124	264.589	で西もないじゃないですか
BP-S10-B-86	264.707	264.933	はい
BP-S10-D-57	265.448	265.788	ただ
BP-S10-D-58	266.083	266.34	その
BP-S10-B-87	267.107	268.35	南か東
BP-S10-D-59	267.17	268.174	東と
BP-S10-D-60	268.481	268.922	南
BP-S10-B-88	269.138	269.592	うん
BP-S10-D-61	269.84	270.15	で
BP-S10-D-62	270.364	271.319	そのまあ
BP-S10-D-63	272.951	273.683	女の子が
BP-S10-D-64	273.925	274.605	好きそうな
BP-S10-D-65	275.255	275.542	もの
BP-S10-D-66	277.046	279.255	甘いものにしようかなって思って
BP-S10-B-89	277.864	278.937	あー
BP-S10-B-90	280.683	283.8	甘いものにするなら南は避けた方が無難そうですね
BP-S10-D-67	283.966	284.525	うーん
BP-S10-B-91	284.259	285.898	まあ東も綿飴ありますけど
BP-S10-B-92	286.255	288.25	南 クレープって大きいのがあるんで
BP-S10-A-39	287.155	288.768	そうクレープは強そうですよね
BP-S10-B-93	289.366	292.819	そうすると東で洋菓子にするか南で和菓子にするかになるんで
BP-S10-B-94	293.538	294.935	女の子をターゲットにするなら
BP-S10-B-95	295.644	297.379	東で洋菓子にした方がいいかなって思いますけど
BP-S10-D-68	298.481	299.837	あえて南でなんか
BP-S10-D-69	301.19	301.79	一緒に
BP-S10-D-70	302.51	303.468	一緒にって言うか
BP-S10-D-71	304.164	307.781	クレープじゃなくて今パンケーキってすごい人気じゃないですか クレープじゃなくて今パンケーキってすごい人気じゃないですか
BP-S10-B-96	306.425	307.529	ああ 確かに それは
BP-S10-B-97	307.962	308.429	それは
BP-S10-D-72	308.477	309.453	で結構その
BP-S10-D-73	309.996	310.677	うん  私
BP-S10-D-74	310.977	311.551	私も
BP-S10-D-75	311.781	314.235	私からしてなんですけど なんか物で決めるんですよ
BP-S10-B-98	312.987	313.218	はい
BP-S10-D-76	314.551	315.27	店じゃなくて
BP-S10-B-99	314.559	315.205	うーん
BP-S10-D-77	315.79	316.092	だから
BP-S10-D-78	316.318	318.338	何が食べたいってもう決めてあるんですよ
BP-S10-B-100	318.94	319.5	なるほど
BP-S10-D-79	319.896	321.479	それでなんか学祭のあの あるじゃないですかパンフで それでなんか学祭のあの
BP-S10-D-80	321.722	322.877	あるじゃないですかパンフで
BP-S10-B-101	322.329	322.959	うん
BP-S10-D-81	323.316	325.209	パンフで あ ここに何々売ってるみたいな
BP-S10-B-102	325.005	325.712	うーん
BP-S10-D-82	325.831	326.537	そんな感じで
BP-S10-B-103	326.84	328.157	それってあの
BP-S10-B-104	328.509	328.814	この
BP-S10-B-105	329.655	336.55	ターゲット層だけ見ればいいと思うんですけどそれ以外の層が完全にここで客の取り合いになっちゃうんで あんまりよろしくないんじゃないかな と思うんすけど
BP-S10-D-83	336.057	336.918	ああ
BP-S10-D-84	337.355	338.518	それ以外の層ですか
BP-S10-B-106	338.442	338.935	うーん
BP-S10-B-107	339.314	342.509	その結局ターゲット層以外もある程度来ると思うんで
BP-S10-A-40	343.024	343.598	うーん
BP-S10-B-108	343.175	344.666	ターゲット層一番をメインに据えてますけど
BP-S10-B-109	346.942	350.31	で南に行くならちょっと僕の考えなんですけど南だけこれ
BP-S10-B-110	351.019	352.559	えー 飲み物が無いじゃないですか
BP-S10-A-41	352.083	352.881	そうなんですよね
BP-S10-B-111	352.653	355.407	まあそこに南に行くなら飲み物を配置するのが一番
BP-S10-D-85	352.859	353.424	うーん
BP-S10-B-112	355.629	356.84	いいかなって思ったんすけど
BP-S10-C-7	356.144	356.735	うーん
BP-S10-A-42	357.304	362.294	僕も実はこの右側の一枚目のほ 奴ほとんど見なかったんですね
BP-S10-B-113	362.298	362.587	はい
BP-S10-A-43	362.884	368.268	まあなんか見てもよくわかなかったんで で結局全体見て南に飲み物系がないだけだな
BP-S10-B-114	364.224	364.874	うーん
BP-S10-A-44	368.483	368.939	ていう
BP-S10-B-115	368.755	369.196	うん
BP-S10-A-45	369.529	372.779	感じで決めたんですけど まあ西にも飲み物ないですけどあんまり
BP-S10-A-46	373.051	374.399	そもそも店がないので
BP-S10-B-116	374.418	374.683	はい
BP-S10-A-47	375.84	379.029	ていう感じで南で飲み物がいいのかなとは
BP-S10-B-117	378.862	379.666	うーん
BP-S10-A-48	379.331	380.524	ぼんやり思ってたんですけど
BP-S10-A-49	381.601	382.54	まあ飲み物はあとは
BP-S10-A-50	382.918	383.596	あのー
BP-S10-A-51	384.24	385.703	経営しやすいと思うんですよね
BP-S10-B-118	385.633	386.007	はい
BP-S10-A-52	386.081	388.069	原価も完全にわかりますし
BP-S10-B-119	388.044	388.472	うーん
BP-S10-A-53	388.661	390.99	まあ売れ残って も別にそんなに痛くない
BP-S10-B-120	391.031	391.64	うーん
BP-S10-A-54	392.062	392.709	と思うんですよ
BP-S10-B-121	394.442	397.894	今ちょっと一枚目ってのが出たんで一枚目の方の読み取りをすると
BP-S10-B-122	398.137	399.74	えー これ昼時よりも
BP-S10-B-123	400.316	403.694	ひ なんで3時 2時3時くらいが一番客が多いじゃないですか
BP-S10-D-86	403.761	404.433	うーん
BP-S10-A-55	403.87	404.381	そうですね
BP-S10-B-124	404.244	406.529	ということはごはん系のものよりもお菓子系のもの
