ID	start	end	transcription
BP-S2-A-0	3.255	3.406	はい
BP-S2-A-1	3.973	4.966	お願いします
BP-S2-D-0	4.255	4.422	はい
BP-S2-B-0	4.721	5.209	お願いします
BP-S2-C-0	4.803	5.71	お願いします
BP-S2-A-2	7.367	7.605	じゃあ
BP-S2-D-1	7.889	8.627	じゃさっきみたいに
BP-S2-A-3	7.902	8.272	まず
BP-S2-A-4	8.873	9.186	はい
BP-S2-A-5	9.522	10.055	そうですね
BP-S2-A-6	10.461	10.617	まず
BP-S2-D-2	10.503	10.751	タイム
BP-S2-A-7	11.242	11.436	はい
BP-S2-A-8	11.655	12.176	やりますか
BP-S2-D-3	11.74	13.329	タイムキーパー じゃ 自分やります
BP-S2-A-9	13.084	14.291	あ お願いします
BP-S2-B-1	13.848	14.114	あ はい
BP-S2-C-1	14.002	14.924	お願いしまーす
BP-S2-A-10	14.953	15.347	はーい
BP-S2-A-11	18.15	18.237	じゃ
BP-S2-A-12	19.078	19.928	20分で はーい
BP-S2-B-2	19.685	19.921	あ はい
BP-S2-A-13	20.186	21.923	じゃあ私も時間を知らせていくので
BP-S2-C-2	20.235	20.714	はーい
BP-S2-A-14	22.455	23.441	お願いします
BP-S2-A-15	24.481	25.163	じゃ まず
BP-S2-A-16	25.561	26.36	あのー
BP-S2-A-17	26.741	30.788	どこするかがまず先に決めるべきものだと思うんですけど
BP-S2-C-3	30.971	31.217	はい
BP-S2-B-3	31.443	31.706	あっはい
BP-S2-A-18	31.563	32.823	私はあの
BP-S2-A-19	33.063	33.875	東エリア
BP-S2-D-4	34.275	34.793	自分もす
BP-S2-B-4	34.69	35.38	東
BP-S2-A-20	35.56	37.048	が一番いいと思うんですけど
BP-S2-C-4	36.93	39.822	あっ校舎の前ですか?私もそれ思います
BP-S2-B-5	37.528	37.981	あー
BP-S2-A-21	37.937	38.402	そうです
BP-S2-A-22	39.779	41.969	はい やっぱあの年代的にも
BP-S2-A-23	42.169	43.644	16～20
BP-S2-A-24	43.83	46.363	21～25のところが
BP-S2-A-25	47.085	48.56	36%
BP-S2-A-26	49.125	50.553	ぐらいを占めているので あのー
BP-S2-A-27	50.833	52.107	なんだっけ 来ている人たち?
BP-S2-C-5	52.734	52.882	はい
BP-S2-A-28	52.83	54.108	やっぱそこらへんを一番
BP-S2-A-29	54.564	56.186	ターゲットに 若い人たちですかね?
BP-S2-A-30	56.605	58.781	ターゲットにしていって
BP-S2-A-31	59.05	59.952	で 高校生の
BP-S2-A-32	60.452	61.991	がよく通りますし
BP-S2-A-33	62.328	67.983	なんかあんまり激戦区じゃないっぽいんで 割と専門から近くて 目につきやすいというところで
BP-S2-A-34	68.611	71.03	私はその東エリアがいいかなと思いますが
BP-S2-A-35	71.684	72.476	どうですか
BP-S2-A-36	72.476	72.688	{LAUGH}
BP-S2-C-6	73.12	75.79	私も似たような意見です それに加えて
BP-S2-C-7	76.082	77.089	年配の方
BP-S2-C-8	77.37	77.997	も結構
BP-S2-C-9	78.407	79.764	16%とかこの
BP-S2-A-37	79.381	79.819	うん
BP-S2-C-10	79.998	83.426	データだと載ってて 休憩所 近くなのでやっぱり
BP-S2-A-38	82.541	83.029	うん
BP-S2-C-11	83.714	86.615	そういった方にも来ていただけるかなっていう風に思いました
BP-S2-A-39	86.542	86.782	はい
BP-S2-D-5	88.288	89.203	そうですね 来場者が
BP-S2-D-6	89.408	90.198	えっと46
BP-S2-D-7	90.522	91.067	から50
BP-S2-D-8	91.544	94.822	50 51から55で16 16で32%で,
BP-S2-D-9	95.508	95.724	で
BP-S2-D-11	97.868	98.591	高校生がだいぶ ねらえるので
BP-S2-A-40	98.73	99.089	うん
BP-S2-D-12	98.792	99.377	ねらえるので
BP-S2-D-13	100.232	100.456	うーん
BP-S2-D-14	101.288	103.899	まあそうゆうお客さんがよく来るのが東のエリアなんで
