ID	start	end	transcription
BP-S3-B-0	17.88	18.419	あ じゃあ
BP-S3-D-0	18.471	18.598	じゃ
BP-S3-A-0	18.677	19.717	あ じゃあよろしくお願いします
BP-S3-D-1	18.821	20.0	宜しくお願いしまーす
BP-S3-B-1	19.169	20.028	よろしく宜しくお願いします
BP-S3-C-0	19.29	20.04	お願いしまーす
BP-S3-D-2	22.428	22.661	と
BP-S3-D-3	23.855	24.557	じゃそしたら
BP-S3-D-4	26.284	27.449	学園祭の出店企画
BP-S3-D-5	27.671	28.248	決めましょうか
BP-S3-B-2	28.226	28.688	はい
BP-S3-C-1	28.828	29.188	はい
BP-S3-A-1	29.368	29.64	はい
BP-S3-D-6	30.545	30.778	で
BP-S3-D-7	31.261	32.126	えーと
BP-S3-D-8	32.705	33.496	じゃあまず何か
BP-S3-D-9	33.95	35.444	意見ある人いますかね
BP-S3-B-3	36.048	39.311	えーと まあぐ あれですかね ここがいいとかいうそういう
BP-S3-D-10	39.034	40.845	そーですね 出店内容でも場所でも
BP-S3-B-4	39.748	40.009	あ
BP-S3-B-5	40.844	41.89	あじゃあいいっすか
BP-S3-D-11	41.177	41.757	なんでもいいので
BP-S3-D-12	41.991	42.301	はい
BP-S3-B-6	42.382	47.628	えっとまあ 自分個人的にはあの東エリアのあの校舎の隣のあの
BP-S3-B-7	48.18	49.501	東エリアのところ
BP-S3-D-13	49.603	50.378	東エリアの方
BP-S3-B-8	50.582	50.992	はい
BP-S3-B-9	51.446	51.84	が
BP-S3-B-10	52.373	54.182	まあ出店場所としては
BP-S3-B-11	54.767	57.132	まあ一番最適かなと思って
BP-S3-B-12	57.911	59.105	で なぜかというと
BP-S3-D-14	59.084	59.426	はい
BP-S3-B-13	59.373	61.934	そのしょうもんあた あたりだと
BP-S3-B-14	62.519	64.69	こう店がいっぱい収集するので
BP-S3-B-15	65.334	65.63	なん
BP-S3-B-16	65.834	67.338	なんていうんだ 相当
BP-S3-B-17	68.159	73.323	こ この 激戦区でそういう周りの目を引く出店内容じゃないと
BP-S3-B-18	73.819	75.255	買ってくれるお客さんが
BP-S3-B-19	75.553	76.121	なかなか
BP-S3-B-20	76.384	77.809	来ないかなーっていう
BP-S3-D-15	77.101	77.643	なるほど
BP-S3-B-21	78.28	79.423	か 考えで
BP-S3-B-22	79.935	80.147	まあ
BP-S3-B-23	80.359	80.871	そういう
BP-S3-B-24	81.16	84.307	ところからちょっと離れたところでも 離れすぎてない
BP-S3-B-25	84.619	87.992	ところの東エリアが一番最適だなーっと
BP-S3-B-26	88.861	90.719	あと 南エリアとかだと ちょっと
BP-S3-D-16	89.417	89.587	あ
BP-S3-D-17	89.817	90.396	ふんふんふん
BP-S3-B-27	90.928	92.253	逆に離れすぎてて
BP-S3-D-18	92.421	93.029	ふんふんふん
BP-S3-B-28	92.776	93.93	ちょっと来ないなーと思う
BP-S3-B-29	94.44	96.176	そ そういう そ そういう理由で
BP-S3-B-30	96.571	99.74	東エリアが一番最適で で出店内容は
BP-S3-B-31	100.515	100.905	うん
BP-S3-B-32	101.451	102.159	まあ
BP-S3-B-33	102.384	102.535	結
BP-S3-B-34	102.761	104.765	構 結構 この辺の周りなんかもう
BP-S3-B-35	105.4	109.848	が がっつり食べるフライドポテトとかう うどんとかばっかなので ちょっと軽い
BP-S3-B-36	110.307	112.332	軽食程度のチョコバナナとか
BP-S3-D-19	112.447	113.445	うんうんうんうん
BP-S3-B-37	112.81	113.385	そういうのが
BP-S3-B-38	113.631	115.033	一番おすすめかなと思います
BP-S3-D-20	119.264	120.305	あ ありがとうございます
BP-S3-B-39	120.254	120.521	はい
BP-S3-D-21	129.419	129.598	あ
BP-S3-D-22	129.953	130.448	先に
BP-S3-D-23	130.999	132.636	あの じ 自己紹介しときますか
BP-S3-B-40	132.582	133.371	あ すいません
BP-S3-D-24	132.642	133.156	{LAUGH}
BP-S3-C-2	133.107	133.369	はい
BP-S3-A-2	133.587	134.139	ああ そうですね
BP-S3-A-3	134.139	134.545	{LAUGH}
BP-S3-D-25	134.285	140.307	じゃあ あの先に あの自分言ったんで僕から自己紹介させていただきます えーと{D}といいます 宜しくお願いします
BP-S3-B-41	138.303	138.58	はい
BP-S3-C-3	139.855	140.959	お願いしまーす
BP-S3-B-42	140.076	140.907	よろしくお願いします
BP-S3-A-4	140.1	140.845	あ 宜しくお願いします
BP-S3-A-5	142.37	144.573	あ じゃあ{A}と申します 宜しくお願いします
BP-S3-D-26	142.4	142.726	あと
BP-S3-C-4	143.955	144.601	宜しくお願いします
BP-S3-D-27	144.204	145.58	あ {A}さん 宜しくお願いします
BP-S3-B-43	144.278	145.065	よろしくお願いします
BP-S3-B-44	145.538	146.596	あ {B}と申します
BP-S3-D-28	146.766	147.782	え え えっと {B}
BP-S3-B-45	147.93	148.88	{B} {B}です
BP-S3-D-29	148.782	150.024	{B}さん あ お願いします
BP-S3-B-46	150.005	151.015	よろしくお願いします
BP-S3-C-5	150.071	150.571	宜しくお願いします
BP-S3-C-6	151.473	152.119	{C}です
BP-S3-D-30	152.347	153.261	あ お願いしまーす
BP-S3-A-6	152.699	153.489	はい 宜しくお願いします
BP-S3-B-47	153.057	153.813	よろしくお願いします
