ID	start	end	transcription
BP-S7-A-0	21.128	21.837	どうしますか
BP-S7-C-0	24.888	25.86	出展内容が
BP-S7-C-1	26.383	27.777	思い浮かばないですよね
BP-S7-B-0	28.341	29.749	これは 食べ物
BP-S7-C-2	28.758	29.862	出尽くされて
BP-S7-B-1	31.716	32.06	まあ
BP-S7-B-2	32.388	34.458	並び的に食べ物の方がいいですよね
BP-S7-A-1	34.479	35.36	うーん 多分
BP-S7-C-3	35.0	35.339	んー
BP-S7-A-2	36.52	37.29	うん
BP-S7-B-3	37.073	37.662	多分
BP-S7-B-4	38.63	39.413	何に
BP-S7-B-5	39.7	40.688	するかを
BP-S7-B-6	41.311	44.66	このターゲット層の親と大学生と高校生
BP-S7-B-7	45.779	46.139	に
BP-S7-A-3	45.935	46.22	うん
BP-S7-B-8	46.611	47.711	決めたあと
BP-S7-B-9	48.324	50.922	あそれだけで食べ物を決めた後に
BP-S7-B-10	51.741	52.177	この
BP-S7-B-11	52.577	52.837	なんか
BP-S7-B-12	53.432	55.622	まあ店が多分これしかないとして
BP-S7-B-13	56.432	57.133	並びで
BP-S7-B-14	59.062	60.256	決めるしかない
BP-S7-B-15	60.471	61.479	って感じじゃないすか
BP-S7-B-16	62.616	63.567	フライドポテトにし
BP-S7-B-17	64.794	66.164	は 一個しか
BP-S7-B-18	66.69	68.06	まみんな一個しかないのかな
BP-S7-A-4	69.354	69.879	多分
BP-S7-B-19	69.377	69.654	こう
BP-S7-A-5	70.113	70.83	被ってない
BP-S7-B-20	71.658	72.915	みんな一個づつですかね
BP-S7-A-6	73.39	73.669	うん
BP-S7-B-21	73.462	73.909	じゃあ
BP-S7-B-22	74.456	74.903	とな
BP-S7-B-23	75.898	78.537	被るんだったら隣にしないようにとか
BP-S7-B-24	79.637	80.275	そんな
BP-S7-B-25	82.439	83.592	あと甘いもの
BP-S7-B-26	84.413	85.286	の隣に
BP-S7-C-4	87.669	88.42	あーいいかも
BP-S7-B-27	87.818	88.441	とか
BP-S7-B-28	88.735	90.32	そのレベルですよね
BP-S7-C-5	92.501	93.864	フライドポテト屋さんのさあ
BP-S7-C-6	94.403	97.259	隣の 星んところにフライドチキン屋さんはどうかな
BP-S7-B-29	97.38	98.329	{LAUGH}
BP-S7-B-30	99.956	101.194	確かにフライドチキン
BP-S7-B-31	101.194	101.339	{LAUGH}
BP-S7-B-32	101.339	101.743	売ったら
BP-S7-B-33	102.189	103.133	買ってくれそう
BP-S7-C-7	102.847	104.192	セットで買ってくやつ
BP-S7-C-8	104.575	105.037	感じが
BP-S7-D-1	107.118	108.72	ああなんか一緒になってるイメージありません
BP-S7-C-9	109.524	110.005	んー
BP-S7-C-10	111.1	113.06	ま正門の端は激戦区だから
BP-S7-C-11	113.411	113.967	あんまり
BP-S7-B-34	114.775	116.754	うーん ここなんかすごい
BP-S7-C-12	115.079	116.309	向かないね
BP-S7-A-7	115.283	115.941	うーん
BP-S7-B-35	117.516	118.475	怖いイメージが
BP-S7-B-36	118.728	119.567	毎年あるんで
BP-S7-C-13	120.328	121.258	正門だった
BP-S7-A-8	126.905	127.501	なんだろうな
BP-S7-B-37	132.807	133.92	多分ここまで
BP-S7-B-38	134.407	137.441	何も被ってないって考えたら被んないほうが良いんですよね
BP-S7-A-9	138.305	138.75	うん
BP-S7-C-14	138.728	139.088	んー
BP-S7-B-39	138.77	139.586	{LAUGH}
BP-S7-A-10	139.826	140.669	独自性をね
BP-S7-A-11	143.83	144.33	なにがある
BP-S7-C-15	146.5	147.669	出店内容
BP-S7-B-40	149.881	150.36	なんか 
BP-S7-B-41	150.749	152.743	ファミチキみたいなやつじゃだめですかね
BP-S7-C-16	154.432	155.115	いいと思う
BP-S7-B-42	155.454	156.239	ファミチキ
BP-S7-C-17	155.86	156.643	{LAUGH}
BP-S7-B-43	160.03	161.145	なんか 私
BP-S7-B-44	161.473	162.056	コンビニ
BP-S7-B-45	162.345	163.609	で働いてるんですけど
BP-S7-B-46	164.132	166.339	あれなら 保健所も引っかかんないし
BP-S7-A-12	167.011	167.862	{LAUGH}
BP-S7-B-47	167.301	167.665	{LAUGH}
BP-S7-D-3	167.558	168.037	{LAUGH}
BP-S7-C-18	167.975	168.465	{LAUGH}
BP-S7-B-48	168.041	169.82	冷凍なの揚げるだけだし
BP-S7-B-49	170.291	170.599	{LAUGH}
BP-S7-B-50	170.733	171.684	いいかなって
BP-S7-B-51	172.055	172.29	思っ
BP-S7-C-19	172.064	172.883	フライドチキン
BP-S7-A-13	172.387	172.682	{LAUGH}
