ID	start	end	transcription
BP-S1-B-0	1.239	3.243	じゃさっきと同じ感じで{A}から意見を
BP-S1-B-1	3.96	4.935	言っていきますか
BP-S1-C-0	5.089	5.766	そうですね
BP-S1-A-0	5.347	5.57	はい
BP-S1-A-1	6.237	7.225	えー
BP-S1-D-0	6.54	7.8	うーん
BP-S1-A-2	8.765	10.396	えー自分が思っ
BP-S1-A-3	10.656	11.158	たのが
BP-S1-A-4	11.53	12.358	えー
BP-S1-A-5	13.235	14.258	まあ 焼きそばの隣
BP-S1-A-6	14.765	15.484	の星のマーク
BP-S1-A-7	16.607	17.458	のところで
BP-S1-D-1	16.82	18.34	隣 隣に焼きそば
BP-S1-A-8	17.684	18.029	場所は
BP-S1-A-9	20.554	22.356	で 焼きそばって その 
BP-S1-A-10	22.917	24.017	もう作ってると
BP-S1-A-11	24.499	25.803	もう熱いじゃないですか もう
BP-S1-B-2	25.489	25.69	うん
BP-S1-B-3	25.984	26.182	うん
BP-S1-A-12	27.094	28.158	こっちの見てる側でも
BP-S1-B-4	28.278	28.531	うん
BP-S1-A-13	28.527	30.166	十分熱いってこともあ
BP-S1-A-14	30.824	32.041	あると思うんで
BP-S1-A-15	32.305	33.654	この位置にあのかき氷
BP-S1-C-1	34.368	35.056	あー
BP-S1-B-5	34.427	35.199	かき氷ね
BP-S1-A-16	37.66	38.862	を作ればいいんじゃないかな
BP-S1-A-17	39.135	39.766	って思ってるんですよ
BP-S1-A-18	40.31	42.605	で あの親子連れが多く通るってことは
BP-S1-A-19	43.149	44.096	子供が
BP-S1-D-2	43.7	45.4	うーん
BP-S1-A-20	44.319	46.041	欲しがると思うんすよ そのかき氷を
BP-S1-B-6	44.347	44.639	うん
BP-S1-B-7	45.268	45.786	うんうん
BP-S1-B-8	46.231	46.501	うん
BP-S1-A-21	47.599	49.794	でまあ売り上げが上がると 思う
BP-S1-B-9	50.598	51.078	なるほど
BP-S1-A-22	50.766	51.488	思います はい
BP-S1-B-10	52.89	53.741	では 僕ですね
BP-S1-A-23	54.023	54.221	はい
BP-S1-B-11	55.27	57.578	これ僕ね あのークレープ側
BP-S1-B-12	57.903	58.478	の隣
BP-S1-A-24	58.111	58.292	はい
BP-S1-B-13	58.901	59.135	に
BP-S1-B-14	59.37	60.623	僕ね羊羹を置きます
BP-S1-C-2	61.268	61.717	羊羹
BP-S1-B-15	61.666	62.498	羊羹置きます
BP-S1-A-25	61.887	62.343	洋館
BP-S1-D-3	62.05	62.76	うーん
BP-S1-B-16	62.94	63.382	あのね
BP-S1-B-17	63.776	66.111	この出廷計画のグラフがあると思うんですけど
BP-S1-B-18	67.217	68.545	あの30歳以下が
BP-S1-B-19	69.188	70.333	47パーしかいないんですよ
BP-S1-A-26	71.601	72.268	うーん
BP-S1-C-3	71.633	72.405	そうですね
BP-S1-B-20	72.217	72.478	うん
BP-S1-B-21	72.725	72.903	で
BP-S1-B-22	73.345	74.505	来場者数がですね
BP-S1-B-23	74.968	76.362	3時と2時が一番多いんですよ
BP-S1-B-24	77.598	78.068	だから
BP-S1-B-25	78.475	79.413	おやつ的な何かをね
BP-S1-B-26	79.709	80.574	置けたらいいんじゃないかな
BP-S1-C-4	81.69	82.535	あー
BP-S1-B-27	82.135	83.701	いちお子供にも食べやすい
BP-S1-A-27	82.247	82.637	え
BP-S1-D-4	82.25	82.95	うーん
BP-S1-B-28	84.307	85.16	物なので
BP-S1-B-29	85.856	86.503	いいんじゃないんすかね
BP-S1-B-30	87.05	87.574	思いました
BP-S1-A-28	87.278	87.868	うーん
BP-S1-B-31	88.515	89.292	{C}ですね
BP-S1-C-5	90.788	92.372	えー僕は
BP-S1-C-6	92.831	94.858	東エリアが南エリアの
BP-S1-C-7	95.535	98.19	まあ高校生がよく通る客層を
BP-S1-C-8	99.047	99.786	ターゲットにし
BP-S1-C-9	100.019	100.305	て
BP-S1-C-10	101.849	102.741	じゃがバター
BP-S1-B-32	102.884	103.468	じゃがバター
BP-S1-A-29	103.309	103.964	あー
BP-S1-B-33	104.856	105.445	じゃがバターね
BP-S1-C-11	105.047	106.027	がいいかなっと
BP-S1-B-34	113.721	114.488	{D}
BP-S1-D-5	115.67	118.48	うーん 自分みんなと違うんすけど 北エリア
BP-S1-D-6	119.01	119.305	の
BP-S1-D-7	119.684	120.792	ところでまあ
BP-S1-D-8	121.25	122.972	食品がいいかなっと思って
BP-S1-B-35	123.398	123.778	はいはい
BP-S1-D-9	124.16	128.176	まあやっぱり年齢通り10代後半から20代前半
BP-S1-D-10	128.643	129.992	向けか もしくは
BP-S1-D-11	130.794	131.817	この40代
BP-S1-D-12	132.052	132.811	後半から
BP-S1-A-30	132.237	132.68	うーん
BP-S1-D-13	133.46	134.762	のまあ層に向けた
BP-S1-B-36	135.198	135.599	うーん
BP-S1-D-14	136.125	137.649	ものにするかっていう感じで
BP-S1-A-31	138.117	138.65	あー
BP-S1-B-37	138.454	139.072	なるほど
BP-S1-C-12	138.474	138.925	うん
BP-S1-A-32	140.989	141.625	あっ結構ありましたね
BP-S1-A-33	141.625	141.921	{LAUGH}
BP-S1-B-38	142.25	142.637	うん
BP-S1-A-34	143.149	143.813	おー
BP-S1-D-15	143.611	144.741	46以上が
BP-S1-D-16	145.392	146.158	40パーくらいなんすよ
BP-S1-A-35	147.154	147.603	そうですね
BP-S1-B-39	147.852	148.939	そう 結構ね
BP-S1-B-40	149.378	149.98	多かったりする
BP-S1-A-36	149.768	150.109	なるほど
BP-S1-A-37	151.088	151.919	あー
BP-S1-B-41	151.654	154.319	これ 僕ね なんでそう思ったかっていうと
BP-S1-B-42	154.609	155.158	あのー
BP-S1-B-43	155.376	158.882	まず出てる店舗がですね 若者向けしかないんですよ だいたい
BP-S1-A-38	158.917	160.223	あーそれは分かります
BP-S1-C-13	159.315	159.917	あー
BP-S1-B-44	159.662	161.019	あってうどんくらいで
BP-S1-B-45	161.464	164.062	結構老人が多そうなんですけど
BP-S1-B-46	164.539	165.519	じゃ何食べるのって
BP-S1-B-47	166.707	168.364	で北をね考えてたん
BP-S1-B-48	169.043	169.609	だけど
BP-S1-B-49	170.772	172.937	これベテラン団体の店舗が多い
BP-S1-B-50	173.594	174.668	ってお話で
BP-S1-B-51	174.999	175.945	これね勝て
BP-S1-B-52	176.296	177.184	ないんじゃないのって
BP-S1-D-17	176.692	177.062	うん
BP-S1-B-53	177.876	178.298	思いました
BP-S1-B-54	178.827	180.056	年数に負けそうです
BP-S1-A-39	178.866	179.541	うーん
BP-S1-B-55	183.139	183.443	うん
BP-S1-B-56	185.494	185.733	じゃ
BP-S1-A-40	186.582	187.21	うん
BP-S1-B-57	186.884	188.566	そう誰も出してないから
BP-S1-B-58	189.525	191.003	そう老人をね狙おうかな
BP-S1-A-41	191.231	191.749	なるほど
BP-S1-B-59	192.031	192.315	そう
BP-S1-B-60	192.78	193.454	思いましたね
BP-S1-B-61	196.005	197.135	そっかじゃがバターと
BP-S1-B-62	197.66	198.517	かき氷と
BP-S1-B-63	199.343	199.788	何か
BP-S1-B-64	200.276	201.164	北で食品
BP-S1-B-65	203.223	204.892	かき氷も強そうですね
BP-S1-C-14	206.189	208.284	まあ でも10月かき氷
BP-S1-B-66	208.588	209.576	あっそっか10月かー
BP-S1-D-18	208.943	210.217	まあ時期的には
BP-S1-A-42	209.135	209.515	あー
BP-S1-C-15	209.296	210.339	でーいうのは
BP-S1-A-43	209.766	210.419	あ そうっすね
BP-S1-B-67	210.449	210.939	確かに
BP-S1-C-16	212.078	212.662	どーなの
BP-S1-C-17	212.662	213.066	{LAUGH}
BP-S1-A-44	213.627	214.313	あー
BP-S1-C-18	213.744	214.288	のかな
BP-S1-B-68	214.594	215.111	うん
BP-S1-C-19	214.692	215.078	って思っ
BP-S1-C-20	216.479	217.745	あとわたあめとかも
BP-S1-B-69	218.158	218.46	うん
BP-S1-A-45	218.537	219.266	うーん
BP-S1-B-70	218.841	219.429	わたあめ
BP-S1-B-71	222.607	223.341	なるほどね
BP-S1-B-72	224.488	225.645	ターゲットどこにしましょう
BP-S1-B-73	226.694	230.582	多分誰に向けて商品作るかまず考えた方がよさそうです
BP-S1-C-21	229.584	230.68	そうですね 場所
BP-S1-C-22	233.474	237.347	場所とターゲットがここにわかりやすく資料に書いてあるので
BP-S1-B-74	236.603	236.949	うん
BP-S1-B-75	237.723	238.298	そうだね
BP-S1-C-23	239.876	242.999	まあ 羊羹売るんだったら東の方がいいんじゃないっすか これは
BP-S1-D-19	241.95	242.654	東かな
BP-S1-B-76	243.096	243.874	そうだね
BP-S1-C-24	244.298	245.225	年配の方
BP-S1-A-46	244.635	245.307	うーん
BP-S1-B-77	245.156	249.221	そうクレープは取り付けにくいと思って思って羊羹って言ってみたんですけど
BP-S1-C-25	246.049	246.662	高校生
BP-S1-C-26	251.037	251.778	あー
BP-S1-B-78	251.68	253.256	そう 結構若者向けで
BP-S1-A-47	251.752	252.484	うーん
BP-S1-B-79	253.952	256.015	こう こうゆうのは差別的なんだけど
BP-S1-B-80	256.62	257.531	絵が浮かばなかった
BP-S1-B-81	258.274	258.601	そう
BP-S1-B-82	258.841	260.878	60 50の人がクレープ食べてるの
BP-S1-B-83	261.556	263.384	だから狙ってみてもいいかなって
BP-S1-A-48	261.725	262.464	あー
BP-S1-C-27	263.699	265.168	うーん 確かに
BP-S1-B-84	265.241	265.55	うん
BP-S1-B-85	270.399	272.025	あとは噛まなくていいから
BP-S1-B-86	272.741	273.821	そう乳幼児もね
BP-S1-C-28	274.817	276.178	そうですね
BP-S1-B-87	274.852	277.649	大丈夫かなって わくわくランド人間も
BP-S1-C-29	276.458	276.654	わか
BP-S1-B-88	278.035	278.89	もってこれそうです
BP-S1-C-30	279.715	280.485	はあ
BP-S1-A-49	280.021	280.333	うーん
BP-S1-B-89	283.592	286.001	そっか確かに 10月でかき氷冷えちゃうかもね
BP-S1-A-50	287.252	287.974	そうですね
BP-S1-A-51	291.282	292.837	なんか 館内で焼きそばって
BP-S1-A-52	293.179	295.286	館内じゃねえか えっやき 焼きそば
BP-S1-A-53	295.564	297.733	って言うと結構 熱く感じるかなって
BP-S1-B-90	297.878	299.027	あー丁度よさそう
BP-S1-A-54	298.66	302.141	丁度隣に位置すればあれかなって思ったんすけどね
BP-S1-B-91	299.949	300.362	確かに
BP-S1-C-31	302.133	302.982	うんうん
BP-S1-A-55	303.365	303.87	まあなんか
BP-S1-B-92	304.158	304.476	うん
BP-S1-A-56	304.175	304.599	他の
BP-S1-A-57	305.186	305.65	人の
BP-S1-A-58	305.87	307.133	方法が強そうなんで
BP-S1-B-93	307.185	307.525	{LAUGH}
BP-S1-A-59	307.45	307.641	{LAUGH}
BP-S1-A-60	307.641	308.356	自分はなんか
BP-S1-C-32	308.137	308.449	{LAUGH}
BP-S1-B-94	308.503	308.968	そうかな
BP-S1-A-61	308.76	309.574	そっちの方がなんか
BP-S1-A-62	310.656	311.631	いいかなって思いましたね
BP-S1-B-95	311.054	311.429	あ
BP-S1-B-96	311.841	312.333	なるほど
BP-S1-A-63	313.843	315.174	結構洋館とか
BP-S1-B-97	315.462	315.882	はいはい
BP-S1-A-64	315.752	317.047	まああの冷たい
BP-S1-A-65	317.515	318.933	部類にも入るじゃないっすか で
BP-S1-B-98	318.931	319.511	あー確かに
BP-S1-A-66	319.674	320.272	そうっすね
BP-S1-A-67	320.529	321.605	やっぱ年齢層
BP-S1-A-68	321.817	322.213	のやっぱ
BP-S1-A-69	323.186	324.029	年配の方に
BP-S1-A-70	324.294	325.525	受けがいいと思うんで
BP-S1-B-99	327.758	329.423	焼きそばの隣に羊羹
BP-S1-B-100	331.066	333.005	それでもよさそうっちゃよさそうですね
BP-S1-D-20	331.709	332.782	うーん
BP-S1-C-33	333.05	334.307	そうですね
BP-S1-B-101	336.494	339.674	確かに まあ 学生相談コーナーから出てくる人は多分クレープにいくので
BP-S1-B-102	340.503	341.627	お菓子食べようと思っても
BP-S1-A-71	340.598	341.066	あー
BP-S1-C-34	341.66	342.18	確かに
BP-S1-B-103	342.341	344.17	一緒になると負けちゃいそうですね
BP-S1-A-72	347.143	347.566	あー
BP-S1-C-36	347.684	350.158	こうまわるか こうまわるかによっても
BP-S1-B-104	350.217	350.619	うーん
BP-S1-B-105	352.264	352.778	でもね
BP-S1-B-106	353.154	354.656	学生相談コーナーに
BP-S1-B-107	355.254	356.89	高齢の人来そうだよね
BP-S1-B-108	357.776	359.588	あの親と一緒にみたいな
BP-S1-A-73	358.489	358.75	{LAUGH}
BP-S1-C-37	359.254	360.286	あー
BP-S1-A-74	359.831	360.564	あー
BP-S1-B-109	360.872	361.596	今は親
BP-S1-B-110	361.803	363.713	っていくつくらいかな 40くらいでしょ 多分
BP-S1-B-111	364.027	364.637	高校生
BP-S1-C-38	364.705	366.823	そうですね 40くらいですね
BP-S1-B-112	364.837	365.025	って
BP-S1-A-75	365.396	366.037	あー
BP-S1-C-39	367.605	369.319	40半ばくらいですかね
BP-S1-B-113	369.154	369.568	うーん
BP-S1-B-114	370.399	371.931	フリーマーケットも人気そうだけどね
BP-S1-C-40	373.807	374.501	そうですね
BP-S1-C-41	375.807	379.594	まあ みんなみんなどこにいくのかってのはわかんないっすもんね
BP-S1-B-115	380.013	380.747	そうだね
BP-S1-C-42	380.805	382.082	ただメインステージ
