ID	start	end	transcription
BP-S4-A-0	0.407	2.437	えーまず何から決めましょうか
BP-S4-A-1	2.856	5.337	出店内容にするか 出店場所にするか
BP-S4-A-2	6.116	8.706	私は えー 出店場所から決めた方が
BP-S4-A-3	9.026	9.336	個人
BP-S4-A-4	9.436	10.616	いいと思ってるんですけど
BP-S4-B-0	11.487	12.389	うーん
BP-S4-A-5	11.737	13.025	出店内容から決めて
BP-S4-A-6	13.871	16.061	出店場所で決めると大体その傾向
BP-S4-A-7	16.211	16.821	近くにある
BP-S4-A-8	17.647	18.667	出店系の
BP-S4-A-9	18.797	19.827	傾向が分かるじゃないですか
BP-S4-B-1	19.926	20.347	うーん
BP-S4-A-10	20.882	21.502	んーそれによっ
BP-S4-A-11	21.572	22.002	て出
BP-S4-A-12	22.132	22.652	店
BP-S4-A-13	22.967	23.447	内容も
BP-S4-A-14	24.366	26.287	決められるんじゃないかなーと思うんすけど
BP-S4-D-0	28.417	31.257	とりあえずまたさっきみたいに順番に
BP-S4-D-1	31.806	32.207	今
BP-S4-D-2	32.546	34.637	どこら辺を考えたかとか
BP-S4-A-15	34.766	35.366	はい
BP-S4-D-3	35.516	36.256	発表
BP-S4-D-4	36.346	37.446	発表というかその
BP-S4-D-5	37.806	41.007	他の3人に伝えるみたいな感じでやってみたらどうでしょうか
BP-S4-A-16	40.806	43.177	あっはい分かりましたじゃあまず出店場所から決める
BP-S4-A-17	43.457	43.967	でいいですね
BP-S4-D-6	44.437	46.947	出店場所がどこがいいかっていうのを順番に
BP-S4-A-18	45.687	46.196	はい
BP-S4-A-19	46.846	47.906	じゃあいきます
BP-S4-D-7	47.607	47.967	はい
BP-S4-A-20	48.246	48.906	えー
BP-S4-A-21	48.956	50.896	私はえー東エリア
BP-S4-A-23	53.747	54.267	に
BP-S4-A-24	54.352	55.412	出店した方がいい
BP-S4-A-25	55.796	56.397	と思ってます
BP-S4-D-8	56.607	57.027	はい
BP-S4-A-26	56.946	58.116	えー理由としてはまず
BP-S4-A-27	58.951	60.051	えー
BP-S4-A-28	60.181	65.301	年代層的に見て年配の方が多く行く さらに高校生が多く行くって書いてあるじゃないですか
BP-S4-D-9	65.477	65.956	はい
BP-S4-A-29	65.626	66.396	年配の方
BP-S4-A-30	66.786	67.216	を
BP-S4-A-31	67.506	67.926	を
BP-S4-A-32	69.077	69.396	この
BP-S4-A-33	69.687	71.296	パーセンテージで見てみると
BP-S4-A-34	71.516	72.687	まあ50代から
BP-S4-A-35	73.637	75.187	の年配の方として見ると
BP-S4-A-36	75.437	77.137	24%になってさらに
BP-S4-A-37	77.416	77.826	逆に
BP-S4-A-38	77.906	78.206	4
BP-S4-A-39	79.107	79.867	46から
BP-S4-A-40	80.997	83.126	まで含めると40%いくんですよ
BP-S4-A-41	84.327	88.876	で更に高校生が多く通るってことは高校生ってのはようは16から20の間じゃないですか
BP-S4-A-42	89.072	90.052	それで12なんで
BP-S4-A-43	90.162	90.492	まあ
BP-S4-A-44	91.107	92.096	少なく見積もっても
BP-S4-A-45	92.687	93.637	56から
BP-S4-A-46	94.341	95.901	56以上の方と
BP-S4-A-47	95.981	97.301	16,20の間だっ
BP-S4-A-48	97.451	98.751	けでも20%
BP-S4-A-49	99.437	100.087	越えるんですよ
BP-S4-A-50	100.546	100.967	なので
BP-S4-A-51	101.506	102.527	東エリアに行くのが
BP-S4-A-52	102.766	104.176	ベストベターかなーと思いました
BP-S4-D-10	106.247	106.447	はい
BP-S4-A-53	106.687	106.937	はい
BP-S4-A-54	107.097	107.767	以上です
BP-S4-D-11	109.406	112.307	はいじゃあ次今何か3分間で考えて
BP-S4-D-12	112.837	113.566	いたらお願いします
BP-S4-B-2	114.046	115.256	僕は
BP-S4-B-3	115.865	117.876	えー何出すかによっ
BP-S4-B-4	118.256	121.896	て場所も変わるのかなーという気がしてて
BP-S4-A-55	122.887	123.967	はいはいはいはい
BP-S4-B-5	122.932	124.662	でまあ1つ
BP-S4-B-6	124.731	125.481	考え
BP-S4-B-7	125.876	126.576	たのは
BP-S4-B-8	128.497	130.237	これ出店内容
BP-S4-B-9	131.057	131.726	どこも
BP-S4-B-10	132.717	133.506	食べ物
BP-S4-A-56	133.786	134.149	はい
