ID	start	end	transcription
BP-S8-D-0	1.157	3.94	っとじゃあどこ するかですよね
BP-S8-B-0	4.722	5.966	そーえすねー
BP-S8-A-0	6.465	6.928	んー
BP-S8-C-0	8.658	10.255	え皆さんどこにが いいと思いました
BP-S8-B-1	10.732	11.835	んー
BP-S8-B-2	12.285	12.901	星
BP-S8-B-3	13.175	13.857	星ですか
BP-S8-D-1	13.326	13.53	ぼ
BP-S8-D-2	13.836	16.417	くは西の焼きそばの隣なんですよね
BP-S8-C-1	16.77	17.927	フリーマケットの隣
BP-S8-A-1	18.342	18.87	んー
BP-S8-B-4	18.461	19.928	子供連れ狙いですかね
BP-S8-B-5	21.727	22.7	北ー
BP-S8-A-2	23.364	24.635	北は辛いですよね
BP-S8-B-6	23.474	26.02	すごい位置的にすごいいいんですけどね
BP-S8-C-2	24.421	27.142	お北はちっとやりたくないですね 楽しそうですけど
BP-S8-D-3	25.694	26.748	北は
BP-S8-A-3	26.453	26.767	{LAUGH}
BP-S8-B-7	27.044	27.812	客引きがー
BP-S8-D-4	27.173	27.523	その
BP-S8-A-4	28.323	28.754	んあー
BP-S8-D-5	28.428	31.423	多分 この 来場さ数の所を見るとー
BP-S8-B-8	28.573	29.152	難しそ
BP-S8-D-6	31.905	35.569	これ多分時間で15時ーが一番多いと思うんですけど
BP-S8-B-9	34.724	35.391	そうですね
BP-S8-C-3	35.408	35.643	はい
BP-S8-D-7	35.919	38.64	その時間だともう多分お昼ご飯食べ終わっててー
BP-S8-A-5	36.339	36.528	あい
BP-S8-D-8	39.25	41.105	でその段階で入ってくるんでー
BP-S8-D-9	41.52	44.215	しかもこのひ北だと 軽食ー
BP-S8-D-10	44.742	47.419	とかつまみーみたいな ジャンクフードみたいなのが揃っ
BP-S8-B-10	44.958	45.445	ふんふん
BP-S8-D-11	47.628	49.494	て もう全部揃っちゃってるのでー
BP-S8-C-4	48.914	50.012	もあど全部出てますよね
BP-S8-A-6	49.462	50.17	んー
BP-S8-B-11	50.042	52.079	もうこ これ以上何を増やせとえ
BP-S8-D-12	50.407	53.623	そこに食い込むのはもう 無理じゃないかなー
BP-S8-B-12	53.383	54.759	そーでっすねー
BP-S8-D-13	53.898	54.948	ってゆう風に思うんですよね
BP-S8-A-7	54.848	55.709	あー
BP-S8-B-13	56.396	57.678	んー
BP-S8-C-5	58.373	59.964	しかもドリンクも出てますもんね
BP-S8-D-14	60.771	61.675	そうなんですよねー
BP-S8-D-15	63.44	64.103	あのー
BP-S8-B-14	63.671	64.494	んー
BP-S8-A-8	64.496	64.915	くらい
BP-S8-D-16	65.001	66.255	東みたいにタピオカ
BP-S8-D-17	66.576	71.34	ドリンクっいう限定的なものじゃなくて多分全部揃っちゃってるような所だと思うんでー
BP-S8-B-15	68.026	68.822	{LAUGH}
BP-S8-A-9	68.232	69.314	{LAUGH}
BP-S8-B-16	70.998	72.188	東は年配の方が多い
BP-S8-A-10	71.696	72.32	なるほど
BP-S8-B-17	72.451	73.904	配の方が多い
BP-S8-C-6	74.669	77.517	わりとさっぱりめなうどんや豚汁が
BP-S8-B-18	74.835	75.147	か
BP-S8-B-19	75.507	75.741	る
BP-S8-B-20	76.256	77.29	そうですね
BP-S8-D-18	76.326	77.067	そうなんですよ
BP-S8-C-7	77.918	78.826	揃ってる感じですよね
BP-S8-C-8	79.375	82.005	ここに出店するとしたらあとお団子とかですか
BP-S8-A-11	79.62	80.267	んー
BP-S8-B-21	81.23	81.79	んー
BP-S8-D-19	82.303	83.125	んー
BP-S8-B-22	82.61	83.705	でもわらび餅が
BP-S8-C-9	82.737	83.964	出せる白玉とか
BP-S8-B-23	84.109	85.404	あそうですねー
BP-S8-D-20	84.907	87.488	あー お汁粉みたいなのもいいですね
BP-S8-A-12	86.22	86.89	なるほど
BP-S8-C-10	86.861	87.587	お汁粉
BP-S8-D-21	88.211	90.955	10月なんでちょっと寒くなってきてる季節かもしれない
BP-S8-C-11	89.896	90.911	ああこれ10月か
BP-S8-B-24	90.824	91.961	そか10月かー
BP-S8-A-13	90.975	91.881	10月かー
BP-S8-A-14	92.448	92.942	あー
BP-S8-C-12	92.505	93.042	見逃してちゃ
BP-S8-D-22	93.259	94.509	それでしかもー
BP-S8-A-15	93.725	93.9	じゅ
BP-S8-A-16	94.143	95.42	完全に とじたな
BP-S8-D-23	95.069	97.58	年代層が46から
BP-S8-D-24	97.873	99.271	55までの結構
BP-S8-B-25	100.014	100.947	そー
BP-S8-D-25	100.205	102.425	人数層が多いんでー
BP-S8-B-26	101.283	103.044	です ね4
BP-S8-C-13	102.358	102.584	はい
BP-S8-B-27	103.25	105.017	じゅう 40%くらい?
BP-S8-C-14	104.822	106.421	恐らく保護者とかですよね多分
BP-S8-B-28	106.988	107.545	そうですね
BP-S8-D-26	107.165	108.592	そうですね かなり多く
BP-S8-A-17	107.765	108.875	保護者系
BP-S8-D-27	108.819	109.209	てー
BP-S8-C-15	109.367	110.147	それか近所の
