ID	start	end	transcription
TP-S1-C-0	0.733	1.397	外国人
TP-S1-A-0	1.234	1.593	よろしくね
TP-S1-B-0	2.15	2.752	外国人
TP-S1-A-1	2.257	2.461	くし
TP-S1-B-1	3.452	3.79	夏
TP-S1-A-2	4.501	4.938	うーん
TP-S1-D-0	6.118	7.504	うーん
TP-S1-C-1	6.294	7.729	夏って難しいですよね
TP-S1-A-3	6.546	6.717	うん
TP-S1-A-4	7.365	7.571	うん
TP-S1-B-2	7.758	8.167	そう
TP-S1-A-5	8.108	8.239	うん
TP-S1-B-3	8.73	10.01	なんか色々あるよね
TP-S1-A-6	10.403	11.123	うーん
TP-S1-A-7	15.0	15.371	うん
TP-S1-A-8	16.164	18.042	ま 1人1項目ずつあげていけば
TP-S1-B-4	18.578	19.276	そうですじゃあ
TP-S1-A-9	18.973	19.404	ていうところ
TP-S1-B-5	19.501	20.148	{A}から
TP-S1-A-10	21.018	21.529	うん
TP-S1-B-6	21.265	22.008	てきました
TP-S1-A-11	22.724	22.869	じゃ
TP-S1-A-12	23.148	23.788	えー
TP-S1-A-13	25.823	26.607	うーん
TP-S1-C-2	26.052	26.92	夏
TP-S1-A-14	28.947	29.226	まあ
TP-S1-A-15	29.645	30.562	あんま季節に
TP-S1-A-16	31.493	32.97	関係はないかもしんないすけど
TP-S1-A-17	33.6	35.266	まあやっぱ日本 日本に来たら
TP-S1-A-18	36.03	38.483	やっぱみんな外国人の人は結構寿司ってなるじゃん
TP-S1-B-7	39.015	39.221	うん
TP-S1-A-19	39.554	42.612	どっかしらでなんか寿司を食べさせてあげたいかなっていうの
TP-S1-C-3	39.628	39.873	あー
TP-S1-B-8	42.318	42.753	寿司
TP-S1-A-20	43.385	45.501	そうですね まあ場所はあんまり特に
TP-S1-A-21	45.8	46.565	限定はしてないんですけど
TP-S1-B-9	46.751	47.448	はいはいはい
TP-S1-A-22	48.931	50.01	ずしを
TP-S1-B-10	49.177	49.848	寿司
TP-S1-D-1	49.394	49.941	和食
TP-S1-D-2	51.583	52.057	和食
TP-S1-B-11	52.642	53.367	和食
TP-S1-A-23	52.707	53.345	和食
